FAULTS
'31Z_F05'	26	26	1	1	1	1	'X+'	/
'31Z_F05'	26	26	2	2	1	1	'X+'	/
'31Z_F05'	26	26	3	3	1	1	'X+'	/
'31Z_F05'	26	26	4	4	1	1	'X+'	/
'31Z_F05'	26	26	5	5	1	1	'X+'	/
'31Z_F05'	26	26	6	6	1	1	'X+'	/
'31Z_F05'	26	26	7	7	1	1	'X+'	/
'31Z_F05'	26	26	8	8	1	1	'X+'	/
'31Z_F05'	26	26	9	9	1	1	'X+'	/
'31Z_F05'	26	26	10	10	1	1	'X+'	/
'31Z_F05'	26	26	11	11	1	1	'X+'	/
'31Z_F05'	26	26	12	12	1	1	'X+'	/
'31Z_F05'	26	26	13	13	1	1	'X+'	/
'31Z_F05'	26	26	14	14	1	1	'X+'	/
'31Z_F05'	26	26	15	15	1	1	'X+'	/
'31Z_F05'	26	26	16	16	1	1	'X+'	/
'31Z_F05'	26	26	17	17	1	1	'X+'	/
'31Z_F05'	26	26	18	18	1	1	'X+'	/
'31Z_F05'	26	26	19	19	1	1	'X+'	/
'31Z_F05'	26	26	20	20	1	1	'X+'	/
'31Z_F05'	26	26	21	21	1	1	'X+'	/
'31Z_F05'	26	26	22	22	1	1	'X+'	/
'31Z_F05'	26	26	23	23	1	1	'X+'	/
'31Z_F05'	26	26	24	24	1	1	'X+'	/
'31Z_F05'	26	26	25	25	1	1	'X+'	/
'31Z_F05'	26	26	26	26	1	1	'X+'	/
'31Z_F05'	26	26	27	27	1	1	'X+'	/
'31Z_F05'	26	26	1	1	2	2	'X+'	/
'31Z_F05'	26	26	2	2	2	2	'X+'	/
'31Z_F05'	26	26	3	3	2	2	'X+'	/
'31Z_F05'	26	26	4	4	2	2	'X+'	/
'31Z_F05'	26	26	5	5	2	2	'X+'	/
'31Z_F05'	26	26	6	6	2	2	'X+'	/
'31Z_F05'	26	26	7	7	2	2	'X+'	/
'31Z_F05'	26	26	8	8	2	2	'X+'	/
'31Z_F05'	26	26	9	9	2	2	'X+'	/
'31Z_F05'	26	26	10	10	2	2	'X+'	/
'31Z_F05'	26	26	11	11	2	2	'X+'	/
'31Z_F05'	26	26	12	12	2	2	'X+'	/
'31Z_F05'	26	26	13	13	2	2	'X+'	/
'31Z_F05'	26	26	14	14	2	2	'X+'	/
'31Z_F05'	26	26	15	15	2	2	'X+'	/
'31Z_F05'	26	26	16	16	2	2	'X+'	/
'31Z_F05'	26	26	17	17	2	2	'X+'	/
'31Z_F05'	26	26	18	18	2	2	'X+'	/
'31Z_F05'	26	26	19	19	2	2	'X+'	/
'31Z_F05'	26	26	20	20	2	2	'X+'	/
'31Z_F05'	26	26	21	21	2	2	'X+'	/
'31Z_F05'	26	26	22	22	2	2	'X+'	/
'31Z_F05'	26	26	23	23	2	2	'X+'	/
'31Z_F05'	26	26	24	24	2	2	'X+'	/
'31Z_F05'	26	26	25	25	2	2	'X+'	/
'31Z_F05'	26	26	26	26	2	2	'X+'	/
'31Z_F05'	26	26	27	27	2	2	'X+'	/
'31Z_F05'	26	26	1	1	3	3	'X+'	/
'31Z_F05'	26	26	2	2	3	3	'X+'	/
'31Z_F05'	26	26	3	3	3	3	'X+'	/
'31Z_F05'	26	26	4	4	3	3	'X+'	/
'31Z_F05'	26	26	5	5	3	3	'X+'	/
'31Z_F05'	26	26	6	6	3	3	'X+'	/
'31Z_F05'	26	26	7	7	3	3	'X+'	/
'31Z_F05'	26	26	8	8	3	3	'X+'	/
'31Z_F05'	26	26	9	9	3	3	'X+'	/
'31Z_F05'	26	26	10	10	3	3	'X+'	/
'31Z_F05'	26	26	11	11	3	3	'X+'	/
'31Z_F05'	26	26	12	12	3	3	'X+'	/
'31Z_F05'	26	26	13	13	3	3	'X+'	/
'31Z_F05'	26	26	14	14	3	3	'X+'	/
'31Z_F05'	26	26	15	15	3	3	'X+'	/
'31Z_F05'	26	26	16	16	3	3	'X+'	/
'31Z_F05'	26	26	17	17	3	3	'X+'	/
'31Z_F05'	26	26	18	18	3	3	'X+'	/
'31Z_F05'	26	26	19	19	3	3	'X+'	/
'31Z_F05'	26	26	20	20	3	3	'X+'	/
'31Z_F05'	26	26	21	21	3	3	'X+'	/
'31Z_F05'	26	26	22	22	3	3	'X+'	/
'31Z_F05'	26	26	23	23	3	3	'X+'	/
'31Z_F05'	26	26	24	24	3	3	'X+'	/
'31Z_F05'	26	26	25	25	3	3	'X+'	/
'31Z_F05'	26	26	26	26	3	3	'X+'	/
'31Z_F05'	26	26	27	27	3	3	'X+'	/
'31Z_F05'	26	26	1	1	4	4	'X+'	/
'31Z_F05'	26	26	2	2	4	4	'X+'	/
'31Z_F05'	26	26	3	3	4	4	'X+'	/
'31Z_F05'	26	26	4	4	4	4	'X+'	/
'31Z_F05'	26	26	5	5	4	4	'X+'	/
'31Z_F05'	26	26	6	6	4	4	'X+'	/
'31Z_F05'	26	26	7	7	4	4	'X+'	/
'31Z_F05'	26	26	8	8	4	4	'X+'	/
'31Z_F05'	26	26	9	9	4	4	'X+'	/
'31Z_F05'	26	26	10	10	4	4	'X+'	/
'31Z_F05'	26	26	11	11	4	4	'X+'	/
'31Z_F05'	26	26	12	12	4	4	'X+'	/
'31Z_F05'	26	26	13	13	4	4	'X+'	/
'31Z_F05'	26	26	14	14	4	4	'X+'	/
'31Z_F05'	26	26	15	15	4	4	'X+'	/
'31Z_F05'	26	26	16	16	4	4	'X+'	/
'31Z_F05'	26	26	17	17	4	4	'X+'	/
'31Z_F05'	26	26	18	18	4	4	'X+'	/
